kode_prov,nama_prov,kode_cab,nama_cab,kode_kec,nama_kec,kode_kel,nama_kel,kode_tps,nama_tps,sumPartai,sumPartaiVotesAndCaleg,selisih,partai
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,1,4452,4451,PBB
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,22,4451,4429,PKB
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,1,4442,4441,PDIP
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,28,4377,4349,PKB
35,JAWA TIMUR,3507,MALANG,350701,DONOMULYO,3507012006,DONOMULYO,3507012006003,TPS 003,2,4358,4356,Nasdem
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,2,4343,4341,Partai Buruh
35,JAWA TIMUR,3522,BOJONEGORO,352205,BUBULAN,3522052004,SUMBERBENDO,3522052004004,TPS 004,0,4336,4336,Partai Buruh
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,2,4277,4275,PBB
71,SULAWESI UTARA,7111,BOLAANG MONGONDOW SELATAN,711104,PINOLOSIAN TENGAH,7111042003,TOROSIK,7111042003001,TPS 001,8,4268,4260,Demokrat
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,20,4200,4180,PKS
71,SULAWESI UTARA,7111,BOLAANG MONGONDOW SELATAN,711104,PINOLOSIAN TENGAH,7111042003,TOROSIK,7111042003001,TPS 001,4,4186,4182,PKS
35,JAWA TIMUR,3507,MALANG,350701,DONOMULYO,3507012006,DONOMULYO,3507012006003,TPS 003,30,4161,4131,PDIP
32,JAWA BARAT,3215,KARAWANG,321510,PEDES,3215102012,JATIMULYA,3215102012022,TPS 022,25,4066,4041,PKB
33,JAWA TENGAH,3376,KOTA TEGAL,337603,TEGAL SELATAN,3376031008,RANDUGUNTING,3376031008027,TPS 027,22,4019,3997,PKB
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,1,3898,3897,PKN
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,3,3860,3857,PKS
35,JAWA TIMUR,3514,PASURUAN,351405,PASREPAN,3514052007,AMPEL SARI,3514052007012,TPS 012,24,3840,3816,Gerindra
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,0,3776,3776,Partai Buruh
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,45,3752,3707,Nasdem
33,JAWA TENGAH,3315,GROBOGAN,331512,GROBOGAN,3315122008,PUTATSARI,3315122008027,TPS 027,5,3739,3734,PKB
18,LAMPUNG,1871,KOTA BANDAR LAMPUNG,187105,TANJUNGKARANG TIMUR,1871051005,SAWAH LAMA,1871051005001,TPS 001,18,3736,3718,Gerindra
32,JAWA BARAT,3209,CIREBON,320902,CILEDUG,3209022014,CILEDUG WETAN,3209022014012,TPS 012,0,3672,3672,Partai Ummat
35,JAWA TIMUR,3507,MALANG,350701,DONOMULYO,3507012006,DONOMULYO,3507012006003,TPS 003,0,3640,3640,PKN
35,JAWA TIMUR,3507,MALANG,350701,DONOMULYO,3507012006,DONOMULYO,3507012006003,TPS 003,22,3610,3588,PKB
35,JAWA TIMUR,3507,MALANG,350701,DONOMULYO,3507012006,DONOMULYO,3507012006003,TPS 003,7,3571,3564,Demokrat
35,JAWA TIMUR,3524,LAMONGAN,352409,SEKARAN,3524092007,KUDIKAN,3524092007004,TPS 004,14,3566,3552,Demokrat
31,DKI JAKARTA,3173,KOTA ADM. JAKARTA BARAT,317306,KALIDERES,3173061001,KALIDERES,3173061001201,TPS 201,1,3564,3563,Partai Ummat
35,JAWA TIMUR,3517,JOMBANG,351711,SUMOBITO,3517112004,PLEMAHAN,3517112004003,TPS 003,17,3564,3547,Golkar
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,8,3557,3549,PPP
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,0,3552,3552,Partai Ummat
72,SULAWESI TENGAH,7208,PARIGI MOUTONG,720802,AMPIBABO,7208022007,SIDOLE,7208022007001,TPS 001,5,3549,3544,PKB
71,SULAWESI UTARA,7111,BOLAANG MONGONDOW SELATAN,711104,PINOLOSIAN TENGAH,7111042003,TOROSIK,7111042003001,TPS 001,0,3544,3544,PKN
32,JAWA BARAT,3215,KARAWANG,321510,PEDES,3215102012,JATIMULYA,3215102012022,TPS 022,1,3544,3543,Partai Gelora
35,JAWA TIMUR,3515,SIDOARJO,351504,PORONG,3515041004,JUWETKENONGO,3515041004009,TPS 009,30,3465,3435,Gerindra
18,LAMPUNG,1806,TANGGAMUS,180601,KOTA AGUNG,1806011002,PASAR MADANG,1806011002019,TPS 019,0,3464,3464,PERINDO
35,JAWA TIMUR,3525,GRESIK,352504,BENJENG,3525042009,BALONGMOJO,3525042009001,TPS 001,0,3448,3448,PAN
32,JAWA BARAT,3215,KARAWANG,321510,PEDES,3215102012,JATIMULYA,3215102012022,TPS 022,0,3400,3400,Partai Ummat
32,JAWA BARAT,3215,KARAWANG,321510,PEDES,3215102012,JATIMULYA,3215102012022,TPS 022,3,3250,3247,PAN
12,SUMATERA UTARA,1210,LABUHANBATU,121008,BILAH HILIR,1210081002,NEGERI BARU,1210081002001,TPS 001,13,3232,3219,PKB
35,JAWA TIMUR,3521,NGAWI,352113,MANTINGAN,3521132001,SAMBIREJO,3521132001916,TPS 916,3,3223,3220,Demokrat
35,JAWA TIMUR,3513,PROBOLINGGO,351323,TONGAS,3513232012,CURAHTULIS,3513232012001,TPS 001,0,3152,3152,PSI
32,JAWA BARAT,3203,CIANJUR,320332,PASIRKUDA,3203322003,PUSAKAJAYA,3203322003012,TPS 012,18,3058,3040,PKS
35,JAWA TIMUR,3510,BANYUWANGI,351005,MUNCAR,3510052009,KEDUNGRINGIN,3510052009022,TPS 022,107,3053,2946,Gerindra
11,ACEH,1104,ACEH TENGAH,110418,ATU LINTANG,1104182010,DAMAR MULYO,1104182010003,TPS 003,2,3008,3006,Demokrat
35,JAWA TIMUR,3517,JOMBANG,351711,SUMOBITO,3517112004,PLEMAHAN,3517112004003,TPS 003,27,2978,2951,Gerindra
33,JAWA TENGAH,3376,KOTA TEGAL,337603,TEGAL SELATAN,3376031008,RANDUGUNTING,3376031008015,TPS 015,0,2968,2968,Partai Garuda
32,JAWA BARAT,3214,PURWAKARTA,321406,DARANGDAN,3214062015,NAGRAK,3214062015019,TPS 019,4,2959,2955,Nasdem
11,ACEH,1108,ACEH UTARA,110817,COT GIREK,1108172001,COT GIREK,1108172001007,TPS 007,22,2953,2931,PKS
73,SULAWESI SELATAN,7313,WAJO,731301,SABANGPARU,7313012010,PALLIMAE,7313012010003,TPS 003,12,2836,2824,PDIP
71,SULAWESI UTARA,7111,BOLAANG MONGONDOW SELATAN,711104,PINOLOSIAN TENGAH,7111042003,TOROSIK,7111042003001,TPS 001,1,2834,2833,PERINDO
